region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial
인천,2025,3051961.0,,,,6816.043614575915,,,
강원,2025,1508500.0,,,,2968.0,,,
충북,2025,1596502.0,,,,2948.0,,,
대전권,2025,3969447.0,,,,7039.0,,,
대구권,2025,4859558.0,,,,13482.0,,,
부산,2025,3241600.0,,,,10505.528083999177,,,
울산,2025,1091948.0,,,,3538.835877426806,,,
경남,2025,3207383.0,,,,10394.636038574017,,,
광주권,2025,3171148.0,,,,10099.0,,,
전북,2025,1724856.0,,,,5747.0,,,
제주,2025,664792.0,,,,3093.0,,,
